s1,s2,s3,c1,c2,c3,rank
0.930232558,0.76744186,0.953488372,0.95,1,0.9625,57
0.704545455,0.75,0.931818182,0.95,1,0.9625,56
0.934782609,0.847826087,0.956521739,0.925,1,0.9125,54
0.8125,0.875,1,0.9375,1,1,52
0.780487805,0.780487805,0.853658537,0.9125,1,0.8625,59
0.913043478,0.869565217,0.869565217,0.9625,1,0.9125,54
0.9375,0.833333333,0.770833333,0.9125,1,0.8625,52
0.536585366,0.634146341,0.463414634,0.5375,1,0.5375,59
0.955555556,0.888888889,0.977777778,0.975,1,1,55
1,0.818181818,0.75,0.9,1,0.6625,56
0.958333333,0.916666667,1,0.975,1,1,52
1,0.87755102,0.591836735,0.925,1,0.675,51
0.93877551,0.897959184,0.734693878,1,1,0.7875,51
0.957446809,0.872340426,0.957446809,0.875,1,0.9125,53
0.886363636,0.818181818,0.931818182,0.875,1,0.95,56
0.840909091,0.931818182,0.977272727,0.9375,1,1,56
0.954545455,0.886363636,0.954545455,0.8875,1,0.8875,56
0.891304348,0.891304348,1,0.95,1,0.9625,54
0.906976744,0.837209302,1,0.875,1,0.9875,57
0.860465116,0.813953488,0.88372093,0.9125,1,0.9,57
0.880952381,0.904761905,0.738095238,0.9125,1,0.8125,58
0.953488372,0.976744186,0.790697674,0.9875,1,0.7,57
0.902439024,0.829268293,0.951219512,1,1,0.9625,59
0.804347826,0.804347826,0.869565217,0.95,1,0.85,54
1,0.804347826,1,0.8375,1,0.975,54
0.976190476,0.904761905,0.904761905,0.775,1,0.9,58
0.930232558,0.744186047,0.860465116,0.9375,1,0.8625,57
0.452380952,0.761904762,0.452380952,0.4,1,0.6,58
0.911111111,0.866666667,0.8,1,1,0.8125,55
0.888888889,0.911111111,0.911111111,0.9875,1,0.9625,55
0.777777778,0.822222222,0.666666667,0.95,1,0.725,55
0.928571429,0.80952381,0.976190476,0.8875,1,0.9625,58
0.8,0.777777778,0.866666667,0.875,1,0.9375,55
0.872340426,0.829787234,1,1,1,1,53
1,0.804347826,1,0.925,1,0.9875,54
0.840909091,0.727272727,0.795454545,0.975,1,0.725,56
0.97826087,0.934782609,1,0.925,1,1,54
1,0.8125,0.833333333,0.9375,1,0.9125,52
0.978723404,0.936170213,1,0.8875,1,1,53
0.906976744,0.837209302,0.953488372,0.9,1,0.9625,57
